source,sumlevel,geoid,name,st,T8_est1,T8_est2,T8_est3,T8_est4,T8_est5,T8_est6,T8_est7,T8_est8,T8_est9,T8_est10,T8_est11,T8_est12,T8_est13,T8_est14,T8_est15,T8_est16,T8_est17,T8_est18,T8_est19,T8_est20,T8_est21,T8_est22,T8_est23,T8_est24,T8_est25,T8_est26,T8_est27,T8_est28,T8_est29,T8_est30,T8_est31,T8_est32,T8_est33,T8_est34,T8_est35,T8_est36,T8_est37,T8_est38,T8_est39,T8_est40,T8_est41,T8_est42,T8_est43,T8_est44,T8_est45,T8_est46,T8_est47,T8_est48,T8_est49,T8_est50,T8_est51,T8_est52,T8_est53,T8_est54,T8_est55,T8_est56,T8_est57,T8_est58,T8_est59,T8_est60,T8_est61,T8_est62,T8_est63,T8_est64,T8_est65,T8_est66,T8_est67,T8_est68,T8_est69,T8_est70,T8_est71,T8_est72,T8_est73,T8_est74,T8_est75,T8_est76,T8_est77,T8_est78,T8_est79,T8_est80,T8_est81,T8_est82,T8_est83,T8_est84,T8_est85,T8_est86,T8_est87,T8_est88,T8_est89,T8_est90,T8_est91,T8_est92,T8_est93,T8_est94,T8_est95,T8_est96,T8_est97,T8_est98,T8_est99,T8_est100,T8_est101,T8_est102,T8_est103,T8_est104,T8_est105,T8_est106,T8_est107,T8_est108,T8_est109,T8_est110,T8_est111,T8_est112,T8_est113,T8_est114,T8_est115,T8_est116,T8_est117,T8_est118,T8_est119,T8_est120,T8_est121,T8_est122,T8_est123,T8_est124,T8_est125,T8_est126,T8_est127,T8_est128,T8_est129,T8_est130,T8_est131,T8_est132,T8_est133,T8_moe1,T8_moe2,T8_moe3,T8_moe4,T8_moe5,T8_moe6,T8_moe7,T8_moe8,T8_moe9,T8_moe10,T8_moe11,T8_moe12,T8_moe13,T8_moe14,T8_moe15,T8_moe16,T8_moe17,T8_moe18,T8_moe19,T8_moe20,T8_moe21,T8_moe22,T8_moe23,T8_moe24,T8_moe25,T8_moe26,T8_moe27,T8_moe28,T8_moe29,T8_moe30,T8_moe31,T8_moe32,T8_moe33,T8_moe34,T8_moe35,T8_moe36,T8_moe37,T8_moe38,T8_moe39,T8_moe40,T8_moe41,T8_moe42,T8_moe43,T8_moe44,T8_moe45,T8_moe46,T8_moe47,T8_moe48,T8_moe49,T8_moe50,T8_moe51,T8_moe52,T8_moe53,T8_moe54,T8_moe55,T8_moe56,T8_moe57,T8_moe58,T8_moe59,T8_moe60,T8_moe61,T8_moe62,T8_moe63,T8_moe64,T8_moe65,T8_moe66,T8_moe67,T8_moe68,T8_moe69,T8_moe70,T8_moe71,T8_moe72,T8_moe73,T8_moe74,T8_moe75,T8_moe76,T8_moe77,T8_moe78,T8_moe79,T8_moe80,T8_moe81,T8_moe82,T8_moe83,T8_moe84,T8_moe85,T8_moe86,T8_moe87,T8_moe88,T8_moe89,T8_moe90,T8_moe91,T8_moe92,T8_moe93,T8_moe94,T8_moe95,T8_moe96,T8_moe97,T8_moe98,T8_moe99,T8_moe100,T8_moe101,T8_moe102,T8_moe103,T8_moe104,T8_moe105,T8_moe106,T8_moe107,T8_moe108,T8_moe109,T8_moe110,T8_moe111,T8_moe112,T8_moe113,T8_moe114,T8_moe115,T8_moe116,T8_moe117,T8_moe118,T8_moe119,T8_moe120,T8_moe121,T8_moe122,T8_moe123,T8_moe124,T8_moe125,T8_moe126,T8_moe127,T8_moe128,T8_moe129,T8_moe130,T8_moe131,T8_moe132,T8_moe133
2013thru2017,040,04000US01,Alabama,01,1856695,1273215,101375,18940,495,18445,18000,250,17750,49095,585,48515,15335,390,14945,117875,63795,575,63220,27790,200,27590,26290,150,26140,0,0,0,192200,135185,1050,134135,41830,105,41725,15185,65,15120,0,0,0,120390,100055,695,99360,16955,115,16840,3375,4,3375,0,0,0,741375,708745,1735,707005,29000,125,28875,3635,15,3620,0,0,0,583480,156035,25825,400,25430,20285,310,19975,88100,1630,86475,21820,570,21250,108240,32920,595,32325,46295,405,45890,29025,660,28365,0,0,0,116695,72330,925,71410,39870,270,39605,4490,225,4265,0,0,0,53310,46495,395,46100,6320,40,6285,495,120,375,0,0,0,149200,145580,1285,144290,3020,185,2835,600,320,280,0,0,0,5528,6959,2117,850,152,835,981,98,993,1544,137,1524,886,154,847,2104,1662,155,1665,1172,95,1163,1288,79,1283,27,27,27,2281,2132,228,2115,1147,62,1142,948,40,949,27,27,27,2148,1952,208,1935,832,126,839,416,14,417,27,27,27,6119,6240,299,6179,1133,83,1131,404,22,404,27,27,27,4152,2348,1052,142,1029,1054,122,1059,1896,321,1832,1130,213,1120,2487,1376,136,1349,1634,122,1633,1536,231,1476,27,27,27,2650,1768,220,1750,1577,106,1560,519,101,506,27,27,27,1660,1593,135,1562,592,32,591,182,83,157,27,27,27,2548,2623,275,2562,413,106,410,210,183,102,27,27,27
2013thru2017,040,04000US02,Alaska,02,252535,160855,11030,2610,1015,1595,2050,355,1695,5825,645,5175,545,50,490,12500,6565,1260,5305,2725,135,2590,3215,25,3190,0,0,0,20835,13045,1445,11600,5310,85,5220,2480,4,2475,0,0,0,16295,11800,540,11260,3920,30,3885,580,0,580,0,0,0,100195,93455,1310,92145,6220,70,6150,520,0,520,0,0,0,91680,16370,3045,765,2280,2390,195,2195,10375,750,9625,560,15,545,14400,3995,600,3395,5940,355,5585,4465,70,4390,0,0,0,18925,9745,610,9135,7575,20,7555,1605,4,1600,0,0,0,11690,8730,320,8410,2900,0,2900,60,0,60,0,0,0,30295,29275,795,28485,1010,0,1010,10,0,10,0,0,0,1272,1745,535,226,149,177,270,70,251,449,114,431,115,26,108,596,377,139,371,290,37,287,360,18,358,20,20,20,830,569,247,567,475,72,478,353,9,353,20,20,20,848,716,119,686,464,42,455,139,20,139,20,20,20,1583,1646,216,1578,427,78,421,144,20,144,20,20,20,1569,788,292,90,283,303,54,301,801,220,786,153,10,153,732,432,193,383,499,185,486,440,45,441,20,20,20,842,626,157,641,553,14,555,260,2,260,20,20,20,749,676,126,662,382,20,382,52,20,52,20,20,20,1013,983,222,939,215,20,215,13,20,13,20,20,20
2013thru2017,040,04000US04,Arizona,04,2482310,1567340,112780,17595,2050,15545,14760,540,14220,59035,840,58195,21390,1180,20210,124470,55020,1830,53190,31820,355,31460,37630,195,37435,0,0,0,225200,135625,2070,133555,61050,230,60815,28525,140,28385,0,0,0,147855,110300,945,109355,30540,165,30375,7015,35,6985,0,0,0,957035,890420,3665,886755,58205,185,58015,8415,30,8385,0,0,0,914975,179770,20060,1035,19025,13605,445,13160,118070,2265,115805,28040,1205,26835,144410,23635,540,23095,63035,730,62310,57740,1200,56540,0,0,0,185540,83245,1320,81930,84645,640,84005,17650,650,17000,0,0,0,101700,76395,655,75745,23405,205,23200,1895,70,1825,0,0,0,303550,286225,1890,284340,15180,295,14885,2145,320,1825,0,0,0,6430,8658,2295,732,221,762,750,135,731,1629,158,1626,1018,162,1011,2233,1488,199,1492,1415,128,1396,1312,89,1307,29,29,29,2944,2562,282,2546,1725,88,1718,1406,87,1395,29,29,29,2744,2428,156,2384,1050,80,1043,621,34,627,29,29,29,7345,7077,404,7085,1551,96,1531,650,36,652,29,29,29,5722,2493,903,163,900,875,148,840,2008,371,1964,1162,250,1189,2607,1123,142,1111,1554,183,1550,1838,252,1803,29,29,29,2773,2206,286,2187,2453,173,2458,955,168,925,29,29,29,2819,2182,175,2219,1252,157,1240,290,34,288,29,29,29,3988,3963,346,3975,865,95,864,296,124,259,29,29,29
2013thru2017,040,04000US05,Arkansas,05,1147290,752635,50550,9795,450,9345,8680,160,8520,24705,360,24345,7365,145,7220,70175,38845,815,38030,17085,155,16935,14245,105,14140,0,0,0,114555,82740,735,82005,24400,95,24300,7415,50,7370,0,0,0,75895,64975,460,64515,9580,90,9490,1340,4,1335,0,0,0,441460,427580,2110,425470,12425,100,12325,1455,0,1455,0,0,0,394660,87535,13625,435,13190,9900,140,9760,52190,1015,51175,11820,405,11415,76475,21650,500,21150,34735,320,34415,20090,420,19670,0,0,0,85870,54670,1005,53665,28660,340,28320,2540,220,2320,0,0,0,40800,37345,520,36825,3105,70,3030,355,45,305,0,0,0,103980,101750,1175,100575,1700,195,1505,530,110,420,0,0,0,4062,5238,1557,637,146,609,586,88,569,1050,124,1011,672,59,668,1540,1152,168,1155,778,77,764,737,81,737,27,27,27,2065,1617,171,1572,1027,53,1031,565,28,563,27,27,27,1807,1592,154,1576,727,70,726,272,27,273,27,27,27,4964,4808,295,4883,654,75,647,223,27,223,27,27,27,3135,2529,847,155,830,703,69,703,1843,265,1803,797,158,758,2295,1101,170,1112,1542,88,1529,1075,144,1087,27,27,27,2184,1764,264,1738,1362,137,1372,358,117,346,27,27,27,1421,1355,204,1340,414,74,402,98,47,99,27,27,27,2522,2490,289,2427,354,113,304,143,57,142,27,27,27
2013thru2017,040,04000US06,California,06,12888130,7024315,536865,84210,1470,82740,69490,1075,68420,326325,3170,323155,56840,620,56220,608665,229290,2245,227045,136130,890,135240,243245,1350,241895,0,0,0,971450,470805,2725,468080,290100,1050,289050,210545,870,209670,0,0,0,659525,390880,1685,389200,199590,680,198910,69050,295,68760,0,0,0,4247815,3628690,10595,3618095,534660,1820,532840,84460,275,84190,0,0,0,5863815,1424685,151215,7215,144000,168840,8115,160720,980190,36360,943830,124435,5825,118610,1007015,161885,6395,155490,426920,8535,418380,418215,12090,406125,0,0,0,1112370,466575,10675,455895,507045,8655,498390,138755,4640,134115,0,0,0,575740,380005,6375,373630,177435,2305,175125,18300,1405,16895,0,0,0,1744005,1581540,17410,1564125,154030,2090,151940,8435,1300,7135,0,0,0,18512,36190,4964,1849,274,1848,1737,233,1712,3593,363,3557,1438,149,1437,6040,3452,310,3397,2582,181,2580,3386,251,3386,29,29,29,6725,4875,312,4949,3757,186,3737,3039,173,3069,29,29,29,6007,4635,229,4620,2744,184,2788,1542,133,1541,29,29,29,26969,25786,625,25814,4401,288,4447,1617,123,1624,29,29,29,20715,8790,2341,480,2367,2821,666,2863,7555,1104,7277,2625,479,2572,7764,2873,537,2712,4661,664,4606,5171,820,5168,29,29,29,7428,4717,673,4696,5249,613,5207,2500,470,2550,29,29,29,5516,4641,536,4627,3244,387,3173,1058,266,995,29,29,29,9478,8635,962,8612,3220,357,3186,601,276,528,29,29,29
2013thru2017,040,04000US08,Colorado,08,2082530,1348005,86360,12980,405,12575,13560,80,13480,51095,655,50440,8725,100,8625,104340,44965,360,44610,26360,195,26165,33015,155,32860,0,0,0,188070,107035,535,106500,58980,125,58855,22060,65,21995,0,0,0,138050,100455,515,99940,32445,85,32355,5150,0,5150,0,0,0,831180,779405,1915,777490,46300,70,46230,5475,75,5400,0,0,0,734525,158680,19515,735,18780,17390,325,17065,108305,3235,105070,13470,450,13020,127985,24465,830,23635,59530,885,58645,43990,1485,42500,0,0,0,159845,78010,1040,76970,69750,685,69065,12090,480,11605,0,0,0,81590,62435,720,61720,17480,125,17350,1675,190,1485,0,0,0,206425,195495,1620,193875,9890,355,9535,1040,265,775,0,0,0,4595,7192,2194,723,147,698,778,60,777,1646,221,1610,645,55,648,1975,1311,112,1292,1029,112,1008,994,101,1007,28,28,28,3034,2232,140,2221,1713,61,1726,996,53,990,28,28,28,2307,2054,124,2031,1164,57,1175,547,28,547,28,28,28,5675,5535,320,5571,1414,46,1421,502,53,505,28,28,28,4652,2796,831,210,824,949,171,951,2468,475,2348,903,146,870,2653,1037,257,1057,1782,271,1839,1367,333,1376,28,28,28,2719,1797,243,1843,1961,221,1924,840,124,833,28,28,28,2492,2122,183,2119,896,77,912,295,104,291,28,28,28,3390,3481,307,3469,772,144,754,207,94,193,28,28,28
2013thru2017,040,04000US09,Connecticut,09,1361755,906800,61105,3125,65,3065,9250,70,9180,43615,280,43335,5110,70,5040,80860,21430,190,21235,28140,115,28025,31290,125,31165,0,0,0,106050,51635,110,51525,37580,165,37410,16835,135,16700,0,0,0,89845,58395,165,58225,25700,75,25625,5755,0,5755,0,0,0,568940,515470,1315,514155,47545,145,47395,5925,10,5920,0,0,0,454955,144495,26200,320,25875,19820,525,19295,87340,1860,85480,11135,245,10890,87755,21925,380,21545,44060,485,43575,21770,735,21035,0,0,0,76860,47590,820,46770,26180,185,26000,3090,100,2990,0,0,0,43290,37245,400,36845,5555,4,5550,490,20,470,0,0,0,102560,98175,825,97345,4015,30,3985,370,35,335,0,0,0,3669,5008,1490,359,40,357,560,74,564,1187,128,1138,462,52,464,2075,901,80,888,1108,60,1107,1257,78,1252,28,28,28,1883,1217,56,1230,1210,95,1207,839,54,841,28,28,28,2084,1597,76,1600,1041,54,1044,489,28,489,28,28,28,4412,4462,256,4456,1225,77,1234,422,15,423,28,28,28,3439,2606,1154,149,1170,969,178,939,2177,285,2214,805,115,788,2207,1186,136,1174,1366,154,1341,1151,212,1157,28,28,28,2008,1738,207,1733,1213,77,1219,420,81,403,28,28,28,1537,1472,208,1489,520,13,520,149,25,147,28,28,28,2017,2003,226,1981,448,31,437,113,40,108,28,28,28
2013thru2017,040,04000US10,Delaware,10,352355,251100,18465,2500,30,2470,2595,50,2545,10590,130,10455,2780,20,2760,21025,9140,50,9090,5335,80,5255,6550,25,6525,0,0,0,37575,22475,90,22385,11095,50,11045,4005,60,3945,0,0,0,26535,19905,70,19835,5410,10,5400,1220,0,1220,0,0,0,147495,138315,365,137950,8425,40,8380,760,0,760,0,0,0,101260,23005,3420,50,3370,2315,4,2310,13620,250,13365,3650,45,3605,17320,3515,50,3465,7990,125,7865,5820,140,5680,0,0,0,21420,10350,140,10210,9475,75,9400,1595,45,1550,0,0,0,10780,8525,45,8480,2065,10,2055,195,0,195,0,0,0,28730,27965,65,27895,705,4,700,60,0,60,0,0,0,1635,1986,905,299,43,295,318,45,323,688,93,681,418,26,419,852,522,45,515,490,94,471,604,25,605,27,27,27,1142,929,50,926,639,39,633,384,65,379,27,27,27,1009,903,62,907,480,18,478,259,27,259,27,27,27,1887,1779,134,1768,598,47,601,150,27,150,27,27,27,1466,772,373,43,370,371,27,372,680,133,649,427,33,422,904,438,45,431,585,69,593,591,61,592,27,27,27,1054,670,71,676,730,49,726,355,42,347,27,27,27,775,665,32,664,296,14,294,99,27,99,27,27,27,1240,1258,45,1245,192,8,193,47,27,47,27,27,27
2013thru2017,040,04000US11,District of Columbia,11,277985,115795,10115,1520,10,1510,1165,0,1165,6465,65,6400,960,30,935,7950,3305,10,3295,1930,20,1910,2715,20,2695,0,0,0,5765,3435,15,3425,1440,10,1435,885,0,885,0,0,0,7335,4725,0,4725,1890,0,1890,720,0,720,0,0,0,84635,75995,135,75865,7315,55,7260,1325,0,1325,0,0,0,162190,52450,10750,130,10620,7570,95,7475,28935,280,28655,5190,205,4990,20915,6825,70,6755,8725,130,8590,5365,165,5200,0,0,0,11815,6330,0,6330,4025,40,3985,1460,0,1460,0,0,0,12150,6890,70,6815,4600,25,4575,665,0,665,0,0,0,64860,56855,410,56445,7640,50,7590,365,0,365,0,0,0,1315,1423,694,256,14,259,245,29,245,529,47,523,232,35,228,544,343,18,341,228,32,233,339,21,335,29,29,29,467,358,17,355,255,15,256,203,29,203,29,29,29,577,467,29,467,237,29,237,180,29,180,29,29,29,1532,1485,78,1483,557,57,555,207,29,207,29,29,29,1573,1494,628,74,613,667,75,664,1088,101,1090,566,130,554,1089,668,41,667,671,70,660,543,97,544,29,29,29,767,528,29,528,456,39,459,243,29,243,29,29,29,783,581,64,578,462,31,460,160,29,160,29,29,29,1595,1514,126,1524,582,43,587,166,29,166,29,29,29
2013thru2017,040,04000US12,Florida,12,7510880,4868825,400760,51655,1030,50625,56610,585,56025,225165,1805,223360,67335,730,66605,450210,183385,1790,181595,117115,610,116500,149710,715,148995,0,0,0,758580,438020,2380,435640,208065,930,207140,112495,415,112080,0,0,0,483590,346815,1500,345320,106280,410,105870,30490,165,30325,0,0,0,2775685,2529140,7375,2521765,208985,645,208340,37560,115,37445,0,0,0,2642055,542110,59275,1140,58135,36470,665,35805,365790,7235,358555,80575,1890,78685,450860,56970,1500,55475,159355,2185,157165,234535,5025,229510,0,0,0,560360,184150,2160,181990,298430,3320,295105,77785,2390,75390,0,0,0,282210,184695,2065,182630,88310,600,87705,9205,650,8555,0,0,0,806510,731100,5750,725350,67705,1005,66700,7705,845,6860,0,0,0,23863,29499,4552,1904,193,1913,1821,150,1837,3393,326,3334,1827,155,1802,5240,2895,289,2864,2231,188,2229,3296,187,3275,31,31,31,6218,4792,315,4762,2988,200,2991,2544,167,2518,31,31,31,5527,4715,255,4712,2441,151,2418,1342,109,1345,31,31,31,21647,20926,547,20870,3270,198,3275,1380,62,1371,31,31,31,12671,5205,1723,231,1675,1501,223,1446,4444,663,4289,2290,313,2267,6285,1876,296,1846,3403,410,3382,4427,544,4376,31,31,31,6507,3610,338,3584,4411,468,4379,2110,372,2064,31,31,31,4800,3465,412,3482,2812,184,2812,864,189,878,31,31,31,6266,6122,557,6046,1796,229,1838,678,206,631,31,31,31
