county,state,county_state,income_group,shortage
Abbeville County,South Carolina,"Abbeville County, SC",r_gap30,300
Acadia Parish,Louisiana,"Acadia Parish, LA",r_gap30,855
Accomack County,Virginia,"Accomack County, VA",r_gap30,820
Ada County,Idaho,"Ada County, ID",r_gap30,8105
Adair County,Iowa,"Adair County, IA",r_gap30,105
Adair County,Kentucky,"Adair County, KY",r_gap30,295
Adair County,Missouri,"Adair County, MO",r_gap30,1460
Adair County,Oklahoma,"Adair County, OK",r_gap30,240
Adams County,Colorado,"Adams County, CO",r_gap30,9465
Adams County,Iowa,"Adams County, IA",r_gap30,35
Adams County,Idaho,"Adams County, ID",r_gap30,60
Adams County,Illinois,"Adams County, IL",r_gap30,1195
Adams County,Indiana,"Adams County, IN",r_gap30,405
Adams County,Mississippi,"Adams County, MS",r_gap30,730
Adams County,North Dakota,"Adams County, ND",r_gap30,19
Adams County,Nebraska,"Adams County, NE",r_gap30,570
Adams County,Ohio,"Adams County, OH",r_gap30,590
Adams County,Pennsylvania,"Adams County, PA",r_gap30,1155
Adams County,Washington,"Adams County, WA",r_gap30,321
Adams County,Wisconsin,"Adams County, WI",r_gap30,145
Addison County,Vermont,"Addison County, VT",r_gap30,341
Aiken County,South Carolina,"Aiken County, SC",r_gap30,3075
Aitkin County,Minnesota,"Aitkin County, MN",r_gap30,189
Alachua County,Florida,"Alachua County, FL",r_gap30,11095
Alamance County,North Carolina,"Alamance County, NC",r_gap30,3130
Alameda County,California,"Alameda County, CA",r_gap30,45685
Alamosa County,Colorado,"Alamosa County, CO",r_gap30,505
Albany County,New York,"Albany County, NY",r_gap30,9835
Albany County,Wyoming,"Albany County, WY",r_gap30,2110
Albemarle County,Virginia,"Albemarle County, VA",r_gap30,1830
Alcona County,Michigan,"Alcona County, MI",r_gap30,85
Alcorn County,Mississippi,"Alcorn County, MS",r_gap30,205
Aleutians East Borough,Alaska,"Aleutians East Borough, AK",r_gap30,25
Aleutians West Census Area,Alaska,"Aleutians West Census Area, AK",r_gap30,8
Alexander County,Illinois,"Alexander County, IL",r_gap30,50
Alexander County,North Carolina,"Alexander County, NC",r_gap30,390
Alexandria city,Virginia,"Alexandria city, VA",r_gap30,4535
Alfalfa County,Oklahoma,"Alfalfa County, OK",r_gap30,31
Alger County,Michigan,"Alger County, MI",r_gap30,89
Allamakee County,Iowa,"Allamakee County, IA",r_gap30,25
Allegan County,Michigan,"Allegan County, MI",r_gap30,910
Allegany County,Maryland,"Allegany County, MD",r_gap30,1470
Allegany County,New York,"Allegany County, NY",r_gap30,835
Alleghany County,North Carolina,"Alleghany County, NC",r_gap30,99
Alleghany County,Virginia,"Alleghany County, VA",r_gap30,249
Allegheny County,Pennsylvania,"Allegheny County, PA",r_gap30,31935
Allen County,Indiana,"Allen County, IN",r_gap30,7520
Allen County,Kansas,"Allen County, KS",r_gap30,110
Allen County,Kentucky,"Allen County, KY",r_gap30,160
Allen County,Ohio,"Allen County, OH",r_gap30,2105
Allen Parish,Louisiana,"Allen Parish, LA",r_gap30,156
Allendale County,South Carolina,"Allendale County, SC",r_gap30,335
Alpena County,Michigan,"Alpena County, MI",r_gap30,460
Alpine County,California,"Alpine County, CA",r_gap30,0
Amador County,California,"Amador County, CA",r_gap30,365
Amelia County,Virginia,"Amelia County, VA",r_gap30,155
Amherst County,Virginia,"Amherst County, VA",r_gap30,415
Amite County,Mississippi,"Amite County, MS",r_gap30,74
Anchorage Municipality,Alaska,"Anchorage Municipality, AK",r_gap30,4950
Anderson County,Kansas,"Anderson County, KS",r_gap30,61
Anderson County,Kentucky,"Anderson County, KY",r_gap30,275
Anderson County,South Carolina,"Anderson County, SC",r_gap30,3320
Anderson County,Tennessee,"Anderson County, TN",r_gap30,1400
Anderson County,Texas,"Anderson County, TX",r_gap30,455
Andrew County,Missouri,"Andrew County, MO",r_gap30,150
Andrews County,Texas,"Andrews County, TX",r_gap30,130
Androscoggin County,Maine,"Androscoggin County, ME",r_gap30,2225
Angelina County,Texas,"Angelina County, TX",r_gap30,1415
Anne Arundel County,Maryland,"Anne Arundel County, MD",r_gap30,4625
Anoka County,Minnesota,"Anoka County, MN",r_gap30,4690
Anson County,North Carolina,"Anson County, NC",r_gap30,405
Antelope County,Nebraska,"Antelope County, NE",r_gap30,44
Antrim County,Michigan,"Antrim County, MI",r_gap30,214
Apache County,Arizona,"Apache County, AZ",r_gap30,254
Appanoose County,Iowa,"Appanoose County, IA",r_gap30,175
Appling County,Georgia,"Appling County, GA",r_gap30,220
Appomattox County,Virginia,"Appomattox County, VA",r_gap30,250
Aransas County,Texas,"Aransas County, TX",r_gap30,385
Arapahoe County,Colorado,"Arapahoe County, CO",r_gap30,13506
Archer County,Texas,"Archer County, TX",r_gap30,35
Archuleta County,Colorado,"Archuleta County, CO",r_gap30,95
Arenac County,Michigan,"Arenac County, MI",r_gap30,129
Arkansas County,Arkansas,"Arkansas County, AR",r_gap30,280
Arlington County,Virginia,"Arlington County, VA",r_gap30,6725
Armstrong County,Pennsylvania,"Armstrong County, PA",r_gap30,670
Armstrong County,Texas,"Armstrong County, TX",r_gap30,19
Aroostook County,Maine,"Aroostook County, ME",r_gap30,1110
Arthur County,Nebraska,"Arthur County, NE",r_gap30,4
Ascension Parish,Louisiana,"Ascension Parish, LA",r_gap30,1245
Ashe County,North Carolina,"Ashe County, NC",r_gap30,420
Ashland County,Ohio,"Ashland County, OH",r_gap30,690
Ashland County,Wisconsin,"Ashland County, WI",r_gap30,130
Ashley County,Arkansas,"Ashley County, AR",r_gap30,310
Ashtabula County,Ohio,"Ashtabula County, OH",r_gap30,2180
Asotin County,Washington,"Asotin County, WA",r_gap30,305
Assumption Parish,Louisiana,"Assumption Parish, LA",r_gap30,150
Atascosa County,Texas,"Atascosa County, TX",r_gap30,305
Atchison County,Kansas,"Atchison County, KS",r_gap30,195
Atchison County,Missouri,"Atchison County, MO",r_gap30,85
Athens County,Ohio,"Athens County, OH",r_gap30,2880
Atkinson County,Georgia,"Atkinson County, GA",r_gap30,29
Atlantic County,New Jersey,"Atlantic County, NJ",r_gap30,6030
Atoka County,Oklahoma,"Atoka County, OK",r_gap30,156
Attala County,Mississippi,"Attala County, MS",r_gap30,270
Audrain County,Missouri,"Audrain County, MO",r_gap30,290
Audubon County,Iowa,"Audubon County, IA",r_gap30,55
Auglaize County,Ohio,"Auglaize County, OH",r_gap30,480
Augusta County,Virginia,"Augusta County, VA",r_gap30,600
Aurora County,South Dakota,"Aurora County, SD",r_gap30,0
Austin County,Texas,"Austin County, TX",r_gap30,355
Autauga County,Alabama,"Autauga County, AL",r_gap30,970
Avery County,North Carolina,"Avery County, NC",r_gap30,154
Avoyelles Parish,Louisiana,"Avoyelles Parish, LA",r_gap30,680
Baca County,Colorado,"Baca County, CO",r_gap30,0
Bacon County,Georgia,"Bacon County, GA",r_gap30,110
Bailey County,Texas,"Bailey County, TX",r_gap30,75
Baker County,Florida,"Baker County, FL",r_gap30,230
Baker County,Georgia,"Baker County, GA",r_gap30,70
Baker County,Oregon,"Baker County, OR",r_gap30,255
Baldwin County,Alabama,"Baldwin County, AL",r_gap30,1505
Baldwin County,Georgia,"Baldwin County, GA",r_gap30,1735
Ballard County,Kentucky,"Ballard County, KY",r_gap30,85
Baltimore city,Maryland,"Baltimore city, MD",r_gap30,25585
Baltimore County,Maryland,"Baltimore County, MD",r_gap30,17260
Bamberg County,South Carolina,"Bamberg County, SC",r_gap30,215
Bandera County,Texas,"Bandera County, TX",r_gap30,125
Banks County,Georgia,"Banks County, GA",r_gap30,145
Banner County,Nebraska,"Banner County, NE",r_gap30,0
Bannock County,Idaho,"Bannock County, ID",r_gap30,1855
Baraga County,Michigan,"Baraga County, MI",r_gap30,74
Barber County,Kansas,"Barber County, KS",r_gap30,29
Barbour County,Alabama,"Barbour County, AL",r_gap30,550
Barbour County,West Virginia,"Barbour County, WV",r_gap30,345
Barnes County,North Dakota,"Barnes County, ND",r_gap30,160
Barnstable County,Massachusetts,"Barnstable County, MA",r_gap30,2705
Barnwell County,South Carolina,"Barnwell County, SC",r_gap30,495
Barren County,Kentucky,"Barren County, KY",r_gap30,790
Barron County,Wisconsin,"Barron County, WI",r_gap30,545
Barrow County,Georgia,"Barrow County, GA",r_gap30,775
Barry County,Michigan,"Barry County, MI",r_gap30,665
Barry County,Missouri,"Barry County, MO",r_gap30,445
Bartholomew County,Indiana,"Bartholomew County, IN",r_gap30,1000
Barton County,Kansas,"Barton County, KS",r_gap30,415
Barton County,Missouri,"Barton County, MO",r_gap30,109
Bartow County,Georgia,"Bartow County, GA",r_gap30,1775
Bastrop County,Texas,"Bastrop County, TX",r_gap30,640
Bates County,Missouri,"Bates County, MO",r_gap30,89
Bath County,Kentucky,"Bath County, KY",r_gap30,124
Bath County,Virginia,"Bath County, VA",r_gap30,0
Baxter County,Arkansas,"Baxter County, AR",r_gap30,235
Bay County,Florida,"Bay County, FL",r_gap30,3620
Bay County,Michigan,"Bay County, MI",r_gap30,1325
Bayfield County,Wisconsin,"Bayfield County, WI",r_gap30,0
Baylor County,Texas,"Baylor County, TX",r_gap30,45
Beadle County,South Dakota,"Beadle County, SD",r_gap30,400
Bear Lake County,Idaho,"Bear Lake County, ID",r_gap30,70
Beaufort County,North Carolina,"Beaufort County, NC",r_gap30,620
Beaufort County,South Carolina,"Beaufort County, SC",r_gap30,1880
Beauregard Parish,Louisiana,"Beauregard Parish, LA",r_gap30,330
Beaver County,Oklahoma,"Beaver County, OK",r_gap30,30
