county,state,county_state,unemp_rate,higherunemp,evict_rate,pred_evrate,pred_error,higherevict
Abbeville County,South Carolina,"Abbeville County, SC",0.0688,0.1688,0.0418,0.018422876814624293,-0.023377123185375704,0.022889286248187514
Acadia Parish,Louisiana,"Acadia Parish, LA",0.06360000000000002,0.16360000000000002,0.022,0.028818540370557793,0.006818540370557794,0.03579977778603159
Accomack County,Virginia,"Accomack County, VA",0.0577,0.1577,0.023,0.016422866450678975,-0.006577133549321025,0.020544595950610596
Ada County,Idaho,"Ada County, ID",0.037699999999999984,0.1377,0.0066,0.017707676172155407,0.011107676172155407,0.022073638824128793
Adair County,Iowa,"Adair County, IA",0.034400000000000014,0.13440000000000002,0.0063,0.011741484602771942,0.005441484602771942,0.015103228805464207
Adair County,Kentucky,"Adair County, KY",0.0776,0.1776,0.0101,0.01547076736106537,0.0053707673610653706,0.019567534584733183
Adair County,Missouri,"Adair County, MO",0.05790000000000001,0.1579,0.0076,0.023477128405880336,0.015877128405880337,0.028645087893269368
Adair County,Oklahoma,"Adair County, OK",0.0693,0.1693,0.0212,0.01075539247968004,-0.01044460752031996,0.013927915838423772
Adams County,Colorado,"Adams County, CO",0.049199999999999994,0.1492,0.0475,0.022443259555875995,-0.025056740444124006,0.02742334863865995
Adams County,Iowa,"Adams County, IA",0.0295,0.1295,0.0034,0.00748913915399774,0.00408913915399774,0.00996748369912708
Adams County,Idaho,"Adams County, ID",0.08730000000000002,0.18730000000000002,0.0036,0.009596534397672395,0.005996534397672395,0.01222535765751057
Adams County,Illinois,"Adams County, IL",0.0514,0.1514,0.01,0.018006626242337495,0.008006626242337495,0.022445184684086204
Adams County,Indiana,"Adams County, IN",0.0411,0.1411,0.0068,0.016343473958995793,0.009543473958995793,0.02049949693638468
Adams County,Mississippi,"Adams County, MS",0.08230000000000001,0.18230000000000002,0.0229,0.015489187906758675,-0.007410812093241325,0.019513335703364793
Adams County,North Dakota,"Adams County, ND",0.026599999999999985,0.1266,NA,0.009961165493881837,NA,0.012953662331622167
Adams County,Nebraska,"Adams County, NE",0.03270000000000001,0.1327,0.0086,0.01633488569528973,0.007734885695289729,0.020443859304992002
Adams County,Ohio,"Adams County, OH",0.089,0.189,0.023,0.024083845674584086,0.0010838456745840865,0.029505656110729923
Adams County,Pennsylvania,"Adams County, PA",0.04450000000000001,0.14450000000000002,0.0163,0.017229935349392524,9.299353493925251e-4,0.02153276069746415
Adams County,Washington,"Adams County, WA",0.0696,0.1696,0.0024,0.008241065215631654,0.005841065215631654,0.010538038163793792
Adams County,Wisconsin,"Adams County, WI",0.0766,0.1766,0.0235,0.01625879120330264,-0.00724120879669736,0.020523711618308852
Addison County,Vermont,"Addison County, VT",0.034,0.134,7e-4,0.009581767058854633,0.008881767058854633,0.012071649793935189
Aiken County,South Carolina,"Aiken County, SC",0.05810000000000001,0.15810000000000002,0.0689,0.028381882958334992,-0.04051811704166501,0.03523549254238313
Aitkin County,Minnesota,"Aitkin County, MN",0.0676,0.1676,0.003,0.018678843875365288,0.01567884387536529,0.02328391187538419
Alachua County,Florida,"Alachua County, FL",0.04719999999999999,0.1472,0.0193,0.03617428380029226,0.016874283800292256,0.043889770765244245
Alamance County,North Carolina,"Alamance County, NC",0.05429999999999999,0.1543,0.0598,0.03005462117413817,-0.02974537882586183,0.03710445862197898
Alameda County,California,"Alameda County, CA",0.051299999999999985,0.1513,0.0072,0.020384706299437113,0.013184706299437113,0.02506564935360818
Alamosa County,Colorado,"Alamosa County, CO",0.058499999999999996,0.1585,0.0068,0.011806658120671276,0.0050066581206712766,0.014653884790081523
Albany County,New York,"Albany County, NY",0.04719999999999999,0.1472,0.0019,0.019708739764240656,0.017808739764240657,0.024338926118800296
Albany County,Wyoming,"Albany County, WY",0.03290000000000001,0.13290000000000002,NA,0.01430795384138782,NA,0.01745968996043537
Albemarle County,Virginia,"Albemarle County, VA",0.040199999999999986,0.1402,0.0262,0.02613379090610609,-6.620909389391111e-5,0.03258890831968359
Alcona County,Michigan,"Alcona County, MI",0.09359999999999999,0.1936,0.0097,0.014080539605892678,0.004380539605892677,0.018052560642356497
Alcorn County,Mississippi,"Alcorn County, MS",0.059,0.159,0.0226,0.011207307396541917,-0.011392692603458082,0.014488098814351627
Aleutians East Borough,Alaska,"Aleutians East Borough, AK",0.037000000000000005,0.137,NA,0.004378058882325352,NA,0.005832768153454457
Aleutians West Census Area,Alaska,"Aleutians West Census Area, AK",0.04569999999999999,0.1457,NA,0.0036981182034967267,NA,0.005006426907569898
Alexander County,Illinois,"Alexander County, IL",0.1015,0.2015,0.0035,0.021500340553681035,0.018000340553681035,0.027587986110003983
Alexander County,North Carolina,"Alexander County, NC",0.052199999999999996,0.1522,0.0326,0.02346883796501915,-0.009131162034980846,0.029621328655197544
Alexandria city,Virginia,"Alexandria city, VA",0.033900000000000013,0.13390000000000002,NA,0.02471306256973412,NA,0.03086652438674704
Alfalfa County,Oklahoma,"Alfalfa County, OK",0.029200000000000004,0.1292,0.0068,0.008089238073136884,0.0012892380731368844,0.01065939735531886
Alger County,Michigan,"Alger County, MI",0.0947,0.1947,0.0161,0.02179476587284814,0.005694765872848142,0.026922722265028447
Allamakee County,Iowa,"Allamakee County, IA",0.051699999999999996,0.1517,0.0083,0.01017731967811925,0.0018773196781192505,0.01327852115713588
Allegan County,Michigan,"Allegan County, MI",0.0476,0.1476,0.0781,0.013031226159500397,-0.06506877384049961,0.016653716828757836
Allegany County,Maryland,"Allegany County, MD",0.07049999999999998,0.17049999999999998,2e-4,0.029136172880769404,0.028936172880769405,0.03622512347360642
Allegany County,New York,"Allegany County, NY",0.0665,0.1665,NA,0.01251816597034999,NA,0.015527905938374185
Alleghany County,North Carolina,"Alleghany County, NC",0.0645,0.1645,0.0154,0.01725773440945019,0.0018577344094501888,0.021577796349300266
Alleghany County,Virginia,"Alleghany County, VA",0.05479999999999999,0.1548,0.0293,0.01519181314577024,-0.01410818685422976,0.019166140470872783
Allegheny County,Pennsylvania,"Allegheny County, PA",0.05349999999999999,0.1535,0.0175,0.017546028876699142,4.602887669914041e-5,0.02190872007145475
Allen County,Indiana,"Allen County, IN",0.050799999999999984,0.1508,0.0798,0.027210472993514732,-0.05258952700648527,0.03395387042008554
Allen County,Kansas,"Allen County, KS",0.05360000000000001,0.15360000000000001,0.0059,0.01086688445628509,0.00496688445628509,0.014107650511544013
Allen County,Kentucky,"Allen County, KY",0.0534,0.1534,0.0255,0.018153124849624714,-0.007346875150375284,0.023421438277833374
Allen County,Ohio,"Allen County, OH",0.05729999999999999,0.1573,0.0351,0.030457340770754415,-0.004642659229245585,0.03771125399970081
Allen Parish,Louisiana,"Allen Parish, LA",0.06670000000000001,0.16670000000000001,0.0149,0.014346424512220598,-5.535754877794025e-4,0.01818812315838634
Allendale County,South Carolina,"Allendale County, SC",0.1073,0.2073,0.0351,0.018653108893246978,-0.01644689110675302,0.023211196253586315
Alpena County,Michigan,"Alpena County, MI",0.07120000000000001,0.17120000000000002,0.018,0.017048943642029923,-9.510563579700759e-4,0.021425201709511305
Alpine County,California,"Alpine County, CA",0.0749,0.1749,0,0.010956852218094823,0.010956852218094823,0.013739652432317213
Amador County,California,"Amador County, CA",0.07220000000000001,0.17220000000000002,NA,0.016371026926285226,NA,0.019895749516957925
Amelia County,Virginia,"Amelia County, VA",0.0479,0.1479,0.0351,0.03046515571885377,-0.00463484428114623,0.03755667909073879
Amherst County,Virginia,"Amherst County, VA",0.04979999999999998,0.1498,0.0481,0.028948015830665037,-0.01915198416933496,0.035854852137117414
Amite County,Mississippi,"Amite County, MS",0.07749999999999999,0.1775,0.0028,0.00909843617282065,0.006298436172820649,0.011978276575668054
Anchorage Municipality,Alaska,"Anchorage Municipality, AK",0.0534,0.1534,NA,0.018020565808331855,NA,0.022441899397794576
Anderson County,Kansas,"Anderson County, KS",0.048100000000000004,0.1481,0.0065,0.011644195269526102,0.005144195269526103,0.015024696505852092
Anderson County,Kentucky,"Anderson County, KY",0.04780000000000001,0.14780000000000001,NA,0.013864272434693363,NA,0.017601220041509852
Anderson County,South Carolina,"Anderson County, SC",0.053900000000000003,0.1539,0.0924,0.026481427544279217,-0.06591857245572078,0.033072773025359166
Anderson County,Tennessee,"Anderson County, TN",0.0587,0.1587,0.0119,0.02496572156701411,0.013065721567014108,0.03139245396469709
Anderson County,Texas,"Anderson County, TX",0.04450000000000001,0.14450000000000002,NA,0.01567599823730173,NA,0.01963657398481208
Andrew County,Missouri,"Andrew County, MO",0.04319999999999999,0.1432,0.0085,0.018671564516758495,0.010171564516758495,0.024038319614519247
Andrews County,Texas,"Andrews County, TX",0.036000000000000004,0.136,0.0199,0.010512227161661187,-0.009387772838338814,0.01355118927317748
Androscoggin County,Maine,"Androscoggin County, ME",0.04619999999999999,0.1462,0.0448,0.01810445415017979,-0.02669554584982021,0.022545897133205074
Angelina County,Texas,"Angelina County, TX",0.05660000000000001,0.15660000000000002,NA,0.017586783437807996,NA,0.021876175895858503
Anne Arundel County,Maryland,"Anne Arundel County, MD",0.0451,0.1451,NA,0.027808827617230334,NA,0.0345150828306144
Anoka County,Minnesota,"Anoka County, MN",0.03950000000000001,0.1395,0.014,0.02949385697116535,0.015493856971165348,0.03651869612740012
Anson County,North Carolina,"Anson County, NC",0.0681,0.1681,0.0355,0.014179893877202433,-0.021320106122797562,0.017958507017176367
Antelope County,Nebraska,"Antelope County, NE",0.027099999999999985,0.1271,8e-4,0.010319381485100351,0.009519381485100351,0.01338806580271593
Antrim County,Michigan,"Antrim County, MI",0.08409999999999998,0.18409999999999999,0.02,0.015591686371975484,-0.004408313628024517,0.019784390985444152
Apache County,Arizona,"Apache County, AZ",0.1389,0.2389,0.0022,0.006897860799772606,0.004697860799772606,0.009063432931140822
Appanoose County,Iowa,"Appanoose County, IA",0.05099999999999999,0.151,0.0178,0.013412869953706202,-0.004387130046293798,0.017124257675980997
Appling County,Georgia,"Appling County, GA",0.07699999999999999,0.177,0.0053,0.010223803248698293,0.004923803248698293,0.013347551771323069
Appomattox County,Virginia,"Appomattox County, VA",0.0524,0.1524,0.0367,0.029879401993823274,-0.00682059800617673,0.03693229846962733
Aransas County,Texas,"Aransas County, TX",0.059100000000000014,0.15910000000000002,0.0247,0.03273017714348356,0.008030177143483558,0.04016802790793149
Arapahoe County,Colorado,"Arapahoe County, CO",0.04189999999999999,0.1419,0.0314,0.02166276641181021,-0.009737233588189786,0.026537539661225504
Archer County,Texas,"Archer County, TX",0.0436,0.1436,0,0.017030153810640655,0.017030153810640655,0.022030875047790263
Archuleta County,Colorado,"Archuleta County, CO",0.049100000000000005,0.1491,0.009,0.01276909525209781,0.0037690952520978115,0.015770128352523814
Arenac County,Michigan,"Arenac County, MI",0.09940000000000002,0.19940000000000002,0.0173,0.018643151813742515,0.001343151813742515,0.02337304487447172
Arkansas County,Arkansas,"Arkansas County, AR",0.0474,0.1474,NA,0.012469839608774645,NA,0.015931032143040074
Arlington County,Virginia,"Arlington County, VA",0.029299999999999993,0.1293,0.009,0.02111303524318487,0.012113035243184871,0.02670945967178152
Armstrong County,Pennsylvania,"Armstrong County, PA",0.0688,0.1688,0.0146,0.012976494183660797,-0.0016235058163392036,0.016677749260204707
Armstrong County,Texas,"Armstrong County, TX",0.03059999999999999,0.1306,0,0.01455973800705375,0.01455973800705375,0.019016853234014162
Aroostook County,Maine,"Aroostook County, ME",0.0653,0.1653,0.0179,0.010642396234630466,-0.007257603765369533,0.013374910168150532
Arthur County,Nebraska,"Arthur County, NE",0.05740000000000001,0.1574,0,0.010391170480197944,0.010391170480197944,0.013557688526195651
Ascension Parish,Louisiana,"Ascension Parish, LA",0.050100000000000006,0.1501,NA,0.020222350821297114,NA,0.025786394592952986
Ashe County,North Carolina,"Ashe County, NC",0.06189999999999998,0.1619,0.0142,0.01285398676046295,-0.00134601323953705,0.016458360373411612
Ashland County,Ohio,"Ashland County, OH",0.0582,0.1582,0.0177,0.012097593913495063,-0.005602406086504938,0.015591245010869153
Ashland County,Wisconsin,"Ashland County, WI",0.06589999999999999,0.1659,0.0202,0.017271436523636788,-0.0029285634763632114,0.021636170293193247
Ashley County,Arkansas,"Ashley County, AR",0.0789,0.1789,NA,0.0200755152118982,NA,0.024808588694169513
Ashtabula County,Ohio,"Ashtabula County, OH",0.06970000000000001,0.16970000000000002,0.0249,0.019612521983628797,-0.005287478016371201,0.024348428910161563
Asotin County,Washington,"Asotin County, WA",0.05210000000000001,0.1521,NA,0.015473479642219496,NA,0.019559458025199743
Assumption Parish,Louisiana,"Assumption Parish, LA",0.07930000000000001,0.17930000000000001,NA,0.016342338641809583,NA,0.02053943782066795
Atascosa County,Texas,"Atascosa County, TX",0.05099999999999999,0.151,0.0075,0.016683672196707744,0.009183672196707744,0.021549706506885948
Atchison County,Kansas,"Atchison County, KS",0.06570000000000001,0.16570000000000001,0.0102,0.012499914631170124,0.0022999146311701232,0.016076511402128627
Atchison County,Missouri,"Atchison County, MO",0.047500000000000014,0.14750000000000002,0.0017,0.010320555039640961,0.008620555039640961,0.013445445371802697
Athens County,Ohio,"Athens County, OH",0.06920000000000001,0.16920000000000002,0.0079,0.023121125069251396,0.015221125069251395,0.028285921502502684
Atkinson County,Georgia,"Atkinson County, GA",0.06360000000000002,0.16360000000000002,0,0.010674869881685074,0.010674869881685074,0.013834275791422098
Atlantic County,New Jersey,"Atlantic County, NJ",0.0938,0.1938,2e-4,0.030083916541697796,0.029883916541697798,0.03608562679417771
Atoka County,Oklahoma,"Atoka County, OK",0.06260000000000002,0.16260000000000002,0.0178,0.013409307635797533,-0.004390692364202467,0.01708338408121402
Attala County,Mississippi,"Attala County, MS",0.07680000000000001,0.1768,NA,0.01528892236624721,NA,0.01929209924354557
Audrain County,Missouri,"Audrain County, MO",0.048600000000000004,0.1486,0.0087,0.0118218987258926,0.003121898725892601,0.015227000872696747
Audubon County,Iowa,"Audubon County, IA",0.039099999999999996,0.1391,0.0013,0.011639788227814417,0.010339788227814416,0.014996310284586766
Auglaize County,Ohio,"Auglaize County, OH",0.04269999999999999,0.1427,0.0145,0.013254705567975868,-0.0012452944320241327,0.016911815350945374
Augusta County,Virginia,"Augusta County, VA",0.04219999999999999,0.1422,0.0362,0.024631953932608947,-0.011568046067391057,0.03092393325196739
Aurora County,South Dakota,"Aurora County, SD",0.02510000000000001,0.12510000000000002,NA,0.010187589667906054,NA,0.01321896543887786
Austin County,Texas,"Austin County, TX",0.0499,0.1499,0.0092,0.030673999213308815,0.021473999213308816,0.03777813648312609
Autauga County,Alabama,"Autauga County, AL",0.0524,0.1524,0.0181,0.03388185931637736,0.01578185931637736,0.04144064074310051
Avery County,North Carolina,"Avery County, NC",0.06129999999999999,0.1613,0.0127,0.02014751598422686,0.0074475159842268615,0.02485669152628684
Avoyelles Parish,Louisiana,"Avoyelles Parish, LA",0.0708,0.1708,0.0017,0.01634942808617126,0.01464942808617126,0.020516353936248517
Baca County,Colorado,"Baca County, CO",0.024099999999999996,0.1241,0.0066,0.006039732299521584,-5.602677004784163e-4,0.007877558610441943
Bacon County,Georgia,"Bacon County, GA",0.061200000000000004,0.1612,0,0.013478067761309791,0.013478067761309791,0.01716230576894151
